hour,temperature(degree),relative humidity(%),wind_speed(m/s),wind_direction(360degree),precipitation(mm),Date,Acc_hour
1,22.4,96,0.8,237,0,2021/7/19,1
2,22.6,93,0.7,224,0,2021/7/19,2
3,22.5,92,0.8,178,0,2021/7/19,3
4,22.2,93,0.6,208,0,2021/7/19,4
5,22.3,90,0.8,266,0,2021/7/19,5
6,22.4,90,0.8,229,0,2021/7/19,6
7,26.2,75,0.3,285,0,2021/7/19,7
8,27.9,71,0.4,58,0,2021/7/19,8
9,28.1,69,1.3,80,0,2021/7/19,9
10,28.9,69,1.2,82,0,2021/7/19,10
11,28.8,72,1.6,74,0,2021/7/19,11
12,28.5,71,1.5,79,0,2021/7/19,12
13,28.4,75,1.5,75,0,2021/7/19,13
14,28.1,79,1.2,73,0,2021/7/19,14
15,27.1,78,1.3,71,0,2021/7/19,15
16,26.6,82,1.3,67,0,2021/7/19,16
17,25.1,90,1,58,0,2021/7/19,17
18,24.2,93,1.2,97,0,2021/7/19,18
19,23.9,95,0.7,74,0,2021/7/19,19
20,23.6,96,0.4,274,0,2021/7/19,20
21,23.5,94,0.3,308,0,2021/7/19,21
22,23.1,95,0.5,229,0,2021/7/19,22
23,22.7,96,0.8,189,0,2021/7/19,23
24,23,92,0.6,270,0,2021/7/19,24
1,22.5,94,0.8,193,0.5,2021/7/20,25
2,22.6,92,1,169,0,2021/7/20,26
3,22.6,92,0.6,196,0,2021/7/20,27
4,22.3,92,0.9,187,0,2021/7/20,28
5,22.6,88,0.6,192,0,2021/7/20,29
6,22.7,90,0,0,0,2021/7/20,30
7,23.4,86,0.6,201,0,2021/7/20,31
8,25.1,80,0.2,0,0,2021/7/20,32
9,25.9,80,0.6,55,0,2021/7/20,33
10,28.6,66,1.4,68,0,2021/7/20,34
11,28.1,77,1.9,121,0,2021/7/20,35
12,24.6,93,1.3,108,0,2021/7/20,36
13,22.6,100,0.8,207,3,2021/7/20,37
14,23.4,100,0.7,205,5.5,2021/7/20,38
15,27.3,83,0.5,78,0,2021/7/20,39
16,25.5,92,0.5,60,0,2021/7/20,40
17,24.3,95,0.8,139,0,2021/7/20,41
18,23.6,99,0.4,226,0.5,2021/7/20,42
19,22.6,100,1.1,216,25.5,2021/7/20,43
20,22.3,100,0.9,202,3,2021/7/20,44
21,22.2,99,0.8,185,0,2021/7/20,45
22,22.3,98,0.3,243,0,2021/7/20,46
23,22.2,98,0.3,195,0,2021/7/20,47
24,22.4,96,1,177,0,2021/7/20,48
1,22.4,94,0.7,160,0,2021/7/21,49
2,21.8,98,0.6,223,0,2021/7/21,50
3,21.5,99,1.3,183,0,2021/7/21,51
4,21.8,95,0.5,210,0,2021/7/21,52
5,21.5,96,0.9,200,0,2021/7/21,53
6,22.1,94,1.1,237,0,2021/7/21,54
7,24.4,84,0.7,201,0,2021/7/21,55
8,28.1,69,0.3,238,0,2021/7/21,56
9,27.8,73,0.5,318,0,2021/7/21,57
10,26,82,1.4,164,0,2021/7/21,58
11,26.7,79,0.8,122,0,2021/7/21,59
12,27.1,77,1,53,0,2021/7/21,60
13,27.2,77,1.5,157,0,2021/7/21,61
14,27.2,76,0.9,173,0,2021/7/21,62
15,25.7,81,1.4,175,0,2021/7/21,63
16,24.5,89,1,177,0,2021/7/21,64
17,24.3,91,0.2,0,0,2021/7/21,65
18,24.6,90,0,0,0,2021/7/21,66
19,23.7,94,0.2,0,0,2021/7/21,67
20,23.5,94,0.3,86,0,2021/7/21,68
21,23.4,94,0.2,0,0,2021/7/21,69
22,23.3,95,0.8,167,0,2021/7/21,70
23,23.3,95,0.6,211,0,2021/7/21,71
24,22.7,95,0.6,202,0,2021/7/21,72
1,22.7,94,1.2,164,0,2021/7/22,73
2,23.2,88,0.9,203,0,2021/7/22,74
3,22.8,89,0.8,182,0,2021/7/22,75
4,22.2,92,1.3,102,0,2021/7/22,76
5,22.7,89,1.1,200,0,2021/7/22,77
6,23.4,85,0.7,189,0,2021/7/22,78
7,24.4,83,0.7,237,0,2021/7/22,79
8,27.7,75,0.9,88,0,2021/7/22,80
9,27.4,76,1.6,100,0,2021/7/22,81
10,27.9,75,1,66,0,2021/7/22,82
11,28.5,73,1.7,120,0,2021/7/22,83
12,29.3,72,0.4,316,0,2021/7/22,84
13,28.6,75,1.9,169,0,2021/7/22,85
14,27,82,2.4,170,0,2021/7/22,86
15,24.9,93,1.9,173,0,2021/7/22,87
16,24.8,91,0.8,158,0,2021/7/22,88
17,24.5,95,0.1,0,0,2021/7/22,89
18,23.9,99,0,0,0.5,2021/7/22,90
19,23.7,99,0.2,0,0,2021/7/22,91
20,23.4,100,0,0,0.5,2021/7/22,92
21,23.1,100,0.4,287,0.5,2021/7/22,93
22,23.1,100,0.6,199,0,2021/7/22,94
23,23,98,0.3,256,0,2021/7/22,95
24,22.8,98,0.1,0,0,2021/7/22,96
1,22.6,99,0.2,0,0,2021/7/23,97
2,22.4,99,0.6,99,0,2021/7/23,98
3,22.2,99,0,0,0,2021/7/23,99
4,22.7,97,0.3,262,0,2021/7/23,100
5,22.7,95,0.6,180,0,2021/7/23,101
6,23.1,94,0.1,0,0,2021/7/23,102
7,25.9,86,0.3,45,0,2021/7/23,103
8,26.4,86,0.7,103,0,2021/7/23,104
9,26,87,1,61,0,2021/7/23,105
10,26.3,87,0.4,317,0,2021/7/23,106
11,27.7,82,1.2,158,0,2021/7/23,107
12,27.3,81,1.7,134,0,2021/7/23,108
13,28.1,78,1.7,161,0,2021/7/23,109
14,30.3,69,0.9,92,0,2021/7/23,110
15,30.1,66,1.4,70,0,2021/7/23,111
16,28.2,70,0.2,0,0,2021/7/23,112
17,27,77,0.4,166,0,2021/7/23,113
18,26.5,79,0.1,0,0,2021/7/23,114
19,25.5,79,1,145,0,2021/7/23,115
20,24.9,81,0.5,338,0,2021/7/23,116
21,23.7,88,0.3,237,0,2021/7/23,117
